Dessignator,Mid X,Mid Y,Layer,Rotation
AE1,178.660794,-82.9607,top,0
C1,151.9936,-79.9592,top,0
C2,151.9936,-81.026,top,0
C3,151.9936,-82.0928,top,0
C4,154.7622,-87.4014,top,90
C5,158.8632,-87.1566,top,90
C51,151.9936,-83.1596,top,180
C121_1,166.319194,-85.5007,top,0
C121_2,163.728394,-82.0971,top,180
C122_1,169.519594,-80.6747,top,-90
C122_2,164.744394,-83.2147,top,0
C123_1,170.789594,-79.1507,top,-90
C123_2,166.268394,-83.6719,top,90
C124_1,163.626794,-87.9899,top,90
C124_2,162.788594,-84.2307,top,0
C125_1,171.856394,-81.1827,top,90
C125_2,170.840394,-83.7227,top,180
C131_1,163.626794,-78.3887,top,90
C131_2,162.737794,-79.9889,top,180
IC1,156.596,-81.8736,top,0
IC2,160.0788,-81.826,top,180
IC3,160.0615,-84.0559,top,180
IC4,172.780094,-82.6232,top,0
L121_1,163.626794,-86.0087,top,90
L121_2,162.763194,-83.2147,top,0
L122_1,168.960794,-82.3511,top,0
L122_2,164.744394,-84.2815,top,180
L123_1,170.789594,-81.1827,top,90
L123_2,165.760394,-82.0971,top,0
L124_2,168.351194,-83.7735,top,0
L131_1,165.9636,-79.9592,top,0
L131_2,162.737794,-81.0049,top,0
L132_2,164.769794,-81.0049,top,0
R171,157.0736,-78.1812,top,-90
Y1,156.7942,-87.1728,top,0
