"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"AE1";"SMA_Molex_73251-2120_EdgeMount_Horizontal";1;"Antenna_Shield";;;
2;"C1";"C_0402_1005Metric";1;"1uF";;;
3;"C2, C51";"C_0402_1005Metric";2;"100nF";;;
4;"C3";"C_0402_1005Metric";1;"10nF";;;
5;"C4, C5";"C_0402_1005Metric";2;"27pF";;;
6;"C121_1, C131_1";"C_0402_1005Metric";2;"3.9pF";;;
7;"C121_2";"C_0402_1005Metric";1;"1pF";;;
8;"C122_1";"C_0402_1005Metric";1;"8.2pF";;;
9;"C122_2, C131_2";"C_0402_1005Metric";2;"1.5pF";;;
10;"C123_1";"C_0402_1005Metric";1;"5.6pF";;;
11;"C123_2";"C_0402_1005Metric";1;"3.3pF";;;
12;"C124_1, C125_1";"C_0402_1005Metric";2;"220pF";;;
13;"C124_2";"C_0402_1005Metric";1;"100pF";;;
14;"C125_2";"C_0402_1005Metric";1;"12pF";;;
15;"IC1";"QFN50P400X400X100-21N-D";1;"CC1101RGPR";;;
16;"IC2, IC3, IC4";"ASWS_S2_0002";3;"ASWD-S2-0005-T";;;
17;"L121_1, L123_1, L131_1";"L_0402_1005Metric";3;"27nH";;;
18;"L121_2, L123_2, L131_2";"L_0402_1005Metric";3;"12nH";;;
19;"L122_1";"L_0402_1005Metric";1;"22nH";;;
20;"L122_2, L132_2";"L_0402_1005Metric";2;"18nH";;;
21;"L124_2";"L_0603_1608Metric";1;"12nH";;;
22;"R171";"R_0402_1005Metric";1;"56k";;;
23;"Y1";"Crystal_SMD_SeikoEpson_FA128-4Pin_2.0x1.6mm";1;"XRCGB26M000F1S2BR0";;;
