"Reference","Qty","Footprint","LCSC Part #","Value","Digikey Part #","Part Name"
"Y1","1","Crystal:Crystal_SMD_SeikoEpson_FA128-4Pin_2.0x1.6mm","C7129840","XRCGB26M000F1S2BR0","490-XRCGB26M000F1S2BR0CT-ND","XRCGB26M000F1S2BR0"
"U1,U2,U3","3","Library:SC-70-6_PSM-M","","4259-63","1046-1011-1-ND","4259-63"
"R171","1","Resistor_SMD:R_0402_1005Metric","C427251","56k","P124494CT-ND","ERJ-PA2F5602X"
"L124_2","1","Inductor_SMD:L_0603_1608Metric","C98068","12nH","490-6861-1-ND","LQW18AN12NG00D"
"L122_2,L132_2","2","Inductor_SMD:L_0402_1005Metric","C437365","18nH","490-15348-1-ND","LQW15AN18NJ8ZD"
"L122_1","1","Inductor_SMD:L_0402_1005Metric","C2044066","22nH","490-15363-1-ND","LQW15AN22NG8ZD"
"L121_2,L123_2,L131_2","3","Inductor_SMD:L_0402_1005Metric","C2986278","12nH","490-LQW15AN12NJ80DCT-ND","LQW15AN12NJ80D"
"L121_1,L123_1,L131_1","3","Inductor_SMD:L_0402_1005Metric","C2043861","27nH","490-15374-1-ND","LQW15AN27NJ8ZD"
"IC1","1","Library:QFN50P400X400X100-21N-D","C29953","CC1101RGPR","296-35718-1-ND","CC1101RGPR"
"C125_2","1","Capacitor_SMD:C_0402_1005Metric","C76948","12pF","490-5924-1-ND","GRM1555C1H120JA01D"
"C124_2","1","Capacitor_SMD:C_0402_1005Metric","C2941926","100pF","490-14349-1-ND","GCM1555C1H101FA16D"
"C124_1,C125_1","2","Capacitor_SMD:C_0402_1005Metric","C126503","220pF","490-4927-1-ND","GCM1555C1H221JA16D"
"C123_2","1","Capacitor_SMD:C_0402_1005Metric","C76906","3.3pF","490-8097-1-ND","GJM1555C1H3R3BB01D"
"C123_1","1","Capacitor_SMD:C_0402_1005Metric","C161329","5.6pF","490-11225-1-ND","GJM1555C1H5R6BB01D"
"C122_2,C131_2","2","Capacitor_SMD:C_0402_1005Metric","C710647","1.5pF","490-16452-1-ND","GCM1555C1H1R5JA16D"
"C122_1","1","Capacitor_SMD:C_0402_1005Metric","C2272083","8.2pF","490-GCQ1555C1H8R2WB01DCT-ND","GCQ1555C1H8R2WB01D"
"C121_2","1","Capacitor_SMD:C_0402_1005Metric","C710646","1pF","490-GCM1555C1H1R0JA16DCT-ND","GCM1555C1H1R0JA16D"
"C121_1,C131_1","2","Capacitor_SMD:C_0402_1005Metric","C88893","3.9pF","490-11216-1-ND","GJM1555C1H3R9WB01D"
"C4,C5","2","Capacitor_SMD:C_0402_1005Metric","C710837","27pF","490-6176-1-ND","GRM1555C1E270JA01D"
"C3","1","Capacitor_SMD:C_0402_1005Metric","C162190","10nF","490-7763-1-ND","GRM155R71H103JA88D"
"C2,C51","2","Capacitor_SMD:C_0402_1005Metric","C2189775","100nF","490-GRM155C71H104JE19DCT-ND","GRM155C71H104JE19D"
"C1","1","Capacitor_SMD:C_0402_1005Metric","C126521","1uF","490-GRM155C71A105KE11JCT-ND","GRM155C71A105KE11J"
"AE1","1","Library:SMA_CONSMA020_062_G","C22467594","Antenna_Shield","343-CONSMA020.062-G-ND","CONSMA020.062-G"
